Property ID|Property|owner_id|comp_id|Owner|owner_publish|Symbol|pctOwner
4305|Shaw's Plaza (Waterville)|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
4308|Dauphin Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
4309|Mayfair Shopping Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
4310|Chimney Rock|76|76|Regency Centers|Regency Centers (REG)|REG|1
4311|Market at Springwoods Village|76|76|Regency Centers|Regency Centers (REG)|REG|0.53
4312|The Village at Riverstone|76|76|Regency Centers|Regency Centers (REG)|REG|1
4314|Broadway Plaza|76|76|Regency Centers|Regency Centers (REG)|REG|1
4315|Bergen Town Center - West, Paramus|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
4321|Arborland Center|245|245|Brixmor|Brixmor (BRX)|BRX|1
4322|3030 North Broadway|22|22|Site Centers|Site Centers (SITC)|SITC|1
4323|Plaza del Prado|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
4324|PCC Community Markets Plaza|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4325|The Terraces|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4326|Santa Rosa Southside Shopping Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4327|Main Street Promenade|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4329|Lincoln Place|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
4330|Bronx (Shops at Bruckner)|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
4331|Jersey City (Hudson Mall)|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
4332|Hastings Ranch Plaza|30|30|Federal Realty|Federal Realty (FRT)|FRT|1
4333|Riverpoint Center|30|30|Federal Realty|Federal Realty (FRT)|FRT|1
4339|Frederick County Acquisitions|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.1809
4350|Azalea|30|30|Federal Realty|Federal Realty (FRT)|FRT|0.9
4351|Bell Gardens|30|30|Federal Realty|Federal Realty (FRT)|FRT|0.9
4354|Plaza del Sol|30|30|Federal Realty|Federal Realty (FRT)|FRT|0.9
4356|Sylmar Towne Center|30|30|Federal Realty|Federal Realty (FRT)|FRT|0.9
4368|Fourth Street|30|30|Federal Realty|Federal Realty (FRT)|FRT|0.9
4369|Jantzen Beach Center|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
4371|Division Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4372|Highland Hill Shopping Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4373|Yonkers Gateway Center|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
4374|Cherry Hill (Plaza at Cherry Hill)|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
4375|Manchester|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
4376|Millburn|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
4377|Westfield (One Lincoln Plaza)|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
4378|Woodbridge (Plaza at Woodbridge)|256|256|Urban Edge Properties|Urban Edge Properties (UE)|UE|1
4379|Plaza Santa Fe|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.201
4476|Grand Parkway Marketplace|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
4477|Monta Loma Plaza|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4478|New Towne Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.201
4642|Upland Town Square|245|245|Brixmor|Brixmor (BRX)|BRX|1
4643|Venice Village Shoppes|245|245|Brixmor|Brixmor (BRX)|BRX|1
4644|Plaza by the Sea|245|245|Brixmor|Brixmor (BRX)|BRX|1
4645|Scripps Ranch Marketplace|76|76|Regency Centers|Regency Centers (REG)|REG|1
4646|Roosevelt Square|76|76|Regency Centers|Regency Centers (REG)|REG|1
4647|Fullerton Crossroads|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4648|Riverstone Marketplace|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4649|North Lynnwood Shopping Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4650|The Village at Nellie Gail Ranch|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4651|Plaza del Lago|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4652|27 East 61st Street|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
4654|3104 M Street|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.196
4655|991 Madison Avenue|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4656|Broughton Street Portfolio - 13 Properties|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.1155
4657|Center at Missouri Avenue|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
4658|City Point - Phase I and II|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.266586
4659|CityLine Market Phase II|76|76|Regency Centers|Regency Centers (REG)|REG|1
4661|Indigo Square|76|76|Regency Centers|Regency Centers (REG)|REG|1
4662|Lake Brandon Village|22|22|Site Centers|Site Centers (SITC)|SITC|1
4663|Lantana Outparcels|76|76|Regency Centers|Regency Centers (REG)|REG|1
4664|Mellody Farm|76|76|Regency Centers|Regency Centers (REG)|REG|1
4665|Midtown East|76|76|Regency Centers|Regency Centers (REG)|REG|1
4666|Mill Station|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
4668|Northgate Marketplace Ph II|76|76|Regency Centers|Regency Centers (REG)|REG|1
4670|Olivo at Mission Hills|30|30|Federal Realty|Federal Realty (FRT)|FRT|1
4671|Pinecrest Place|76|76|Regency Centers|Regency Centers (REG)|REG|1
4672|Shaw's Plaza (Windham)|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
4675|The Field at Commonwealth|76|76|Regency Centers|Regency Centers (REG)|REG|1
4676|Veterans Memorial Plaza|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
4677|Tustin Legacy|76|76|Regency Centers|Regency Centers (REG)|REG|1
4679|Trussville Promenade|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.201
4680|Ballard Blocks I|76|76|Regency Centers|Regency Centers (REG)|REG|0.499
4681|District at Metuchen|76|76|Regency Centers|Regency Centers (REG)|REG|0.2
4682|Hewlett Crossing I & II|76|76|Regency Centers|Regency Centers (REG)|REG|1
4683|Stadium Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
5348|King City Plaza|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
5349|Rivertowns Square|76|76|Regency Centers|Regency Centers (REG)|REG|1
5351|Elk Grove Commons|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.201
5352|Ridgewood Shopping Center|76|76|Regency Centers|Regency Centers (REG)|REG|0.2
5353|Hiram Pavilion|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.201
5354|Town and Country Center|76|76|Regency Centers|Regency Centers (REG)|REG|0.094
5355|650 Bald Hill Road (Midland Commons)|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
5356|Cortlandt Crossing|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.2
