sector_id|market_id|Sector|Market|Distance to CBD|Commute Time|Median Household Income|Distance to Interstate|Sum of Interstates|Distance to Air / Rail|Population Density|Unemployment Rate|Distance to Seaport|500-Mile Population Ring|% College Degree|Median Home Age|Grade|Housing Affordability|Median Home Price|Grade Rank|% Office Establishments|Fiscal Health|Supply Barriers|Desirability Index|Cost of Living|Spending Power
1|150|Apartment|Atlanta|17.39131745|32.71458595|77|4.06116486|271.15900129|12.65834128|1620|0.0512639|221.58209496||0.42853922|36.29745178|A-|Cheap|250|15|0.30136875|Healthy|Very Low|59.32585069||
1|151|Apartment|Austin|9.89118419|26.38824778|83|4.16842926|49.18024989|9.04213947|1830|0.05359573|151.5300411||0.501063|35.11840382|A+|Expensive|330|2|0.32477412|Stable|Very Low|87.87163497||
1|152|Apartment|Baltimore|13.96648835|31.37385103|87|2.78677919|207.33068045|9.43764723|1550|0.06027081|24.90544579||0.41934008|39.10217116|B+|Expensive|320|28|0.26476275|Healthy|Average|31.85380709||
1|154|Apartment|Boston|12.34500033|32.61319656|98|2.67631323|260.39845209|9.74124182|2040|0.06816986|13.50073041||0.51421198|39.16333478|A|Very Expensive|540|3|0.25263947|Stable|Average|60.08441105||
1|156|Apartment|New Jersey (Central)|23.68799576|32.87518887|84|6.17688621|137.90164184|16.51914853|1460|0.06302143|51.89262694||0.43304621|41.38862348|C+|Expensive|410|48|0.24735085|Concerning|Average|26.31233326||
1|158|Apartment|Charlotte|8.53408763|26.98898365|69|1.72314088|121.97506162|6.840372|1950|0.05835094|176.3295935||0.4584892|36.07407868|A-|Cheap|240|20|0.28960905|Stable|Very Low|67.29901456||
1|160|Apartment|Chicago|17.18724568|33.00190384|80|2.33855006|309.81609432|6.58170607|3520|0.09112042|776.84666383||0.41769203|38.25180623|C+|Expensive|300|49|0.26736265|Concerning|Very Low|43.17768221||
1|161|Apartment|Cincinnati|13.31883245|24.36995419|71|2.8045781|196.31169683|10.25767105|980|0.05287605|524.47399889||0.36455445|37.97397941|B|Cheap|190|39|0.23938717|Stable|Very Low|42.99011077||
1|162|Apartment|Cleveland|14.95766026|24.32658294|60|1.9474371|235.26713282|9.1465419|1610|0.07329632|319.63870592||0.35532223|41.64123718|B|Very Cheap|160|42|0.25164425|Stable|Very Low|40.21396852||
1|168|Apartment|Denver|9.15254888|27.4205009|88|2.89058475|112.56138224|11.32284518|3250|0.06992538|877.87871408||0.43328176|36.3238815|A-|Neutral|360|17|0.31400369|Stable|Average|73.24960031||
1|169|Apartment|Detroit|23.27631591|26.6797786|51|3.20788727|263.39670128|13.76259699|1630|0.06691607|432.71094362||0.34610435|39.3782354|B-|Cheap|200|47|0.22303722|Stable|Very Low|36.27087966||
1|172|Apartment|Fort Lauderdale|10.30932163|28.88932206|64|3.00277548|54.91586166|8.00531971|4520|0.05267581|21.20945707||0.32867157|40.71764334|B+|Cheap|270|27|0.29617327|Stable|Average|69.12037833||
1|177|Apartment|Houston|15.52721567|30.58893272|71|4.88242607|130.9361938|9.03909374|2330|0.08251185|16.8282074||0.35688791|34.43109256|A-|Neutral|220|23|0.27547015|Stable|Low|60.0584933||
1|178|Apartment|Indianapolis|12.81469939|24.84914552|66|2.61675526|234.77695243|10.35779058|760|0.04628863|601.7035401||0.38491984|36.24312798|B|Very Cheap|180|41|0.25431499|Stable|Very Low|50.42237035||
1|179|Apartment|Jacksonville|11.23554984|25.65516276|71|4.72058305|95.43774245|12.66005105|1160|0.04377075|12.71416999||0.31480236|37.230994|B+|Very Cheap|200|31|0.26493844|Stable|Very Low|64.4126216||
1|180|Apartment|Kansas City|13.52517102|22.44157648|72|2.3237249|226.09251127|12.68739837|1140|0.05164067|640.33930464||0.40607378|37.38215726|B|Cheap|200|37|0.26783712|Healthy|Very Low|40.36732669||
