sector_id|market_id|Month|Sector|Market|All Employees: Non Farm NSA (K)
100|1|01/04/2014|GSA Universe|U.S.|137169
100|1|01/05/2014|GSA Universe|U.S.|138307
100|1|01/06/2014|GSA Universe|U.S.|139219
100|1|01/07/2014|GSA Universe|U.S.|139806
100|1|01/08/2014|GSA Universe|U.S.|138727
100|1|01/09/2014|GSA Universe|U.S.|139107
100|1|01/10/2014|GSA Universe|U.S.|139793
100|1|01/11/2014|GSA Universe|U.S.|140847
100|1|01/12/2014|GSA Universe|U.S.|141312
100|1|01/01/2015|GSA Universe|U.S.|141308
100|1|01/02/2015|GSA Universe|U.S.|138493
100|1|01/03/2015|GSA Universe|U.S.|139324
100|1|01/04/2015|GSA Universe|U.S.|140081
100|1|01/05/2015|GSA Universe|U.S.|141264
100|1|01/06/2015|GSA Universe|U.S.|142206
100|1|01/07/2015|GSA Universe|U.S.|142681
100|1|01/08/2015|GSA Universe|U.S.|141729
100|1|01/09/2015|GSA Universe|U.S.|141921
100|1|01/10/2015|GSA Universe|U.S.|142479
100|1|01/11/2015|GSA Universe|U.S.|143627
100|1|01/12/2015|GSA Universe|U.S.|144048
100|1|01/01/2016|GSA Universe|U.S.|144046
100|1|01/02/2016|GSA Universe|U.S.|141072
100|1|01/03/2016|GSA Universe|U.S.|141903
100|1|01/04/2016|GSA Universe|U.S.|142798
100|1|01/05/2016|GSA Universe|U.S.|143892
100|1|01/06/2016|GSA Universe|U.S.|144541
100|1|01/07/2016|GSA Universe|U.S.|145205
100|1|01/08/2016|GSA Universe|U.S.|144232
100|1|01/09/2016|GSA Universe|U.S.|144485
100|1|01/10/2016|GSA Universe|U.S.|145151
100|1|01/11/2016|GSA Universe|U.S.|146033
100|1|01/12/2016|GSA Universe|U.S.|146465
100|1|01/01/2017|GSA Universe|U.S.|146253
100|1|01/02/2017|GSA Universe|U.S.|143377
100|1|01/03/2017|GSA Universe|U.S.|144406
100|1|01/04/2017|GSA Universe|U.S.|145062
100|1|01/05/2017|GSA Universe|U.S.|146086
100|1|01/06/2017|GSA Universe|U.S.|146925
100|1|01/07/2017|GSA Universe|U.S.|147568
100|1|01/08/2017|GSA Universe|U.S.|146465
100|1|01/09/2017|GSA Universe|U.S.|146782
100|1|01/10/2017|GSA Universe|U.S.|147170
100|1|01/11/2017|GSA Universe|U.S.|148183
100|1|01/12/2017|GSA Universe|U.S.|148757
100|1|01/01/2018|GSA Universe|U.S.|148510
100|1|01/02/2018|GSA Universe|U.S.|145412
100|1|01/03/2018|GSA Universe|U.S.|146649
100|1|01/04/2018|GSA Universe|U.S.|147352
100|1|01/05/2018|GSA Universe|U.S.|148329
100|1|01/06/2018|GSA Universe|U.S.|149264
100|1|01/07/2018|GSA Universe|U.S.|149930
100|1|01/08/2018|GSA Universe|U.S.|148766
100|1|01/09/2018|GSA Universe|U.S.|149236
100|1|01/10/2018|GSA Universe|U.S.|149548
100|1|01/11/2018|GSA Universe|U.S.|150551
