tranche_id|deal_id|benchmark_id|currency_id|order_id|rate_type_id|rate_type_benchmark_id|flag_abs_clo_cre|Maturity Date|Benchmark|Currency|Rate Type|Benchmark Rate Type|Class Amount ($M)|Denomination Amount|Notional Amount ($M)|Coupon|Average Life (Years)|Price|Spread|% Subordination|Tranche Class|Yield
176|20193024|23|158|5|2|2|0|17/02/2026|Int. Swaps|US Dollar|Fixed|fixed|34.87|||0.0494|3.58|99.9811|240|0.185|E|0.04997
176|20195025|11|158|1|1|1|1|20/04/2031|3 mo. Libor|US Dollar|Floating|floating|152|||172|5.3|100|172|0.4229|A-1|
177|20193025|23|158|1|2|2|0|25/02/2044|Int. Swaps|US Dollar|Fixed|fixed|725|||0.0454|4.92|99.9569|200||A-2|0.04593
177|20195025|11|158|2|1|1|1|20/04/2031|3 mo. Libor|US Dollar|Floating|floating|50|||172|5.3|100|172|0.4229|A-1L|
178|20194005|2||1|1|1|0|18/10/2030|1 mo. Libor||Floating|floating|688.6|526.35||83|3.18|100|83|0.285|A|
178|20195025|11|158|3|1|1|1|20/04/2031|3 mo. Libor|US Dollar|Floating|floating|21|||270|7.2|100|270|0.2943|A-2A|
179|20193026|23|158|1|2|2|0|20/03/2023|Int. Swaps|US Dollar|Fixed|fixed|494.4|||0.0345|2.89|99.986|85||A|0.0348
179|20195025|11|158|5|1|1|1|20/04/2031|3 mo. Libor|US Dollar|Floating|floating|23|||410|8|100|410|0.2286|B|
180|20193026|23|158|2|2|2|0|20/03/2023|Int. Swaps|US Dollar|Fixed|fixed|57.6|||0.037|2.89|99.9962|110||B|0.0373
180|20195025|23|158|4|2|2|1|20/04/2031|Int. Swaps|US Dollar|Fixed|fixed|24|||0.0511|7.2|||0.2943|A-2B|
181|20193026|23|158|3|2|2|0|20/03/2023|Int. Swaps|US Dollar|Fixed|fixed|48|||0.0453|2.89|99.9811|195||C|0.0458
181|20195025|11|158|6|1|1|1|20/04/2031|3 mo. Libor|US Dollar|Floating|floating|18|||500|8.6||533|0.1771|C|
182|20193027|20|158|1|2|2|0|15/08/2023|EDSF|US Dollar|Fixed|fixed|166.78|||0.0311|1.13|99.9937|43|0.374|A|0.03136
182|20195025||158|7|1||1|20/04/2031||US Dollar|Floating||62|||||||0|Sub|
183|20193027|23|158|2|2|2|0|16/01/2024|Int. Swaps|US Dollar|Fixed|fixed|22.29|||0.0339|2.72|99.995|77|0.289|B|0.03416
183|20195026|11|158|2|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|294|||132|6.2|100|132|0.412|A-1|
184|20193027|23|158|3|2|2|0|18/02/2025|Int. Swaps|US Dollar|Fixed|fixed|29.5|||0.036|3.29|99.9973|100|0.1765|C|0.03628
184|20195026|11|158|1|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|2.5|||75|1.2|100|75|0|X|
185|20193027|23|158|4|2|2|0|18/02/2025|Int. Swaps|US Dollar|Fixed|fixed|23.86|||0.0408|3.98|99.9958|150|0.0855|D|0.04116
185|20195026|11|158|3|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|27.5|||165|7.6|100|165|0.357|A-2|
186|20193027|23|158|5|2|2|0|15/06/2026|Int. Swaps|US Dollar|Fixed|fixed|17.57|||0.0506|4.54|99.9748|250|0.0185|E|0.0512
186|20195026|11|158|4|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|49|||185|8.2|100|185|0.259|B|
187|20193028|2|158|1|1|1|0|25/07/2031|1 mo. Libor|US Dollar|Floating|floating|186.724|||85|1.37|100|85|0.034|1M-1|
187|20195026|11|158|5|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|36.5|||275|9|100|275|0.186|C|
188|20193028|2|158|2|1|1|0|25/07/2031|1 mo. Libor|US Dollar|Floating|floating|586.848|||245|5.59|100|245|0.012|1M-2|
188|20195026|11|158|6|1|1|1|15/04/2031|3 mo. Libor|US Dollar|Floating|floating|29.25|||385|9.6|100|385|0.1275|D|
189|20193028|2|158|3|1|1|0|25/07/2031|1 mo. Libor|US Dollar|Floating|floating|186.724|||435|9.95|100|435|0.005|1B-1|
