auto_id|comp_id|sector_id|sector_id_nav|Symbol|Sector|NAV Sector|Cap-Ex Reserve|Economic Cap Rate|Nominal Cap Rate|Nominal NOI|Economic NOI|Operating Value of RE|Property Type
17323|186|19|19|DLR|Data Center|Data Center|0.2|0.05027984|0.0628498|1578929.2702|1263143.41616|25122265.449672|Data Centers-Enterprise
17324|186|19|19|DLR|Data Center|Data Center|0.1|0.04969402|0.05521558|199730|179757|3617276.16036336|Data Centers-Other
17753|221|95|95|COLD|Cold Storage|Cold Storage|0.16470588|0.04884315|0.05847419|487483.17921792|407191.83205261|8336723.22240198|Cold Storage
18257|71|10|10|PSA|Self-Storage|Self-Storage|0.04879482|0.04851146|0.051|1969602.17570474|1873495.78307243|38619650.5040144|Self-Storage (US)
18258|171|10|10|EXR|Self-Storage|Self-Storage|0.04787481|0.04856766|0.05100974|836068.09104279|796041.48960124|16390362.8199128|Stabilized Properties- Pro Rata
18259|171|10|10|EXR|Self-Storage|Self-Storage|0.0689219|0.04748498|0.051|25234.87979097|23495.64386562|494801.5645288|Unstabilized Properties - Pro Rata
18260|88|10|10|LSI|Self-Storage|Self-Storage|0.06125864|0.05022266|0.0535|386530.34241651|362852.0178902|7224866.21339274|Consolidated
18261|88|10|10|LSI|Self-Storage|Self-Storage|0.03828491|0.05145176|0.0535|19763.84804624|19007.19095289|369417.7204904|Unconsolidated JVs
18262|155|10|10|CUBE|Self-Storage|Self-Storage|0.04516547|0.04869656|0.051|404242.46783013|385984.66783013|7926322.89863002|Same-Store Portfolio
18263|155|10|10|CUBE|Self-Storage|Self-Storage|0.04906389|0.04659587|0.049|59950.40036115|57009.00036115|1223477.55839073|Non Same-Store Portfolio
18270|345|105|105|CCI|Tower|Tower|0.055|0.0354375|0.0375|3140148.8672|2967440.679504|83737303.1253333|Towers-Domestic
18271|345|105|105|CCI|Tower|Tower|0.2|0.05233498|0.06541872|1078618.30016|862894.640128|16487915|Other - ALL
18272|233|105|105|AMT|Tower|Tower|0.055|0.0354375|0.0375|3918723.42833706|3703193.63977852|104499291.422322|Towers-Domestic
18273|233|105||AMT|Tower||0.055|0.06213359|0.06574983|1997451.41947183|1887591.59140088|30379566.9405224|Towers-International
18274|346|105|105|SBAC|Tower|Tower|0.055|0.0354375|0.0375|1328843.12805978|1255756.75601649|35435816.7482607|Towers-Domestic
18275|346|105||SBAC|Tower||0.055|0.0567|0.06|290268.52414975|274303.75532151|4837808.73582915|Towers-International
18651|282|20|20|WPC|Net Lease|Net Lease|0.03172248|0.06594249|0.06810288|203798.77307807|197333.76995574|2992513.33337226|Net Lease - Retail
18652|282|20|20|WPC|Net Lease|Net Lease|0.03476903|0.06778989|0.07023178|524697.39367061|506454.17436665|7470939.33820304|Net Lease - Industrial
18653|282|20|20|WPC|Net Lease|Net Lease|0.04669333|0.06965401|0.07306569|253341.01625727|241511.67973816|3467304.74337692|Net Lease - Office
18654|282|20|20|WPC|Net Lease|Net Lease|0.05|0.0688|0.07242105|56298.00361273|53483.10343209|777370.68941991|Net Lease - Self Storage
18655|282|20|20|WPC|Net Lease|Net Lease|0.062|0.0688|0.07334755|87824.88563585|82379.74272643|1197379.9814888|Net Lease - Other
